gene.symbol	gene.entrezid
LCAT	3931
KIAA1462	57608
HCN2	610
CD200	4345
SIX2	10736
VPS72	6944
RNF157	114804
GBAP1	2630
RND3	390
CDKN2BAS	100048912
CABYR	26256
PODXL	5420
NR2C2AP	126382
IP6K1	9807
OLFML3	56944
BMPER	168667
TIGD5	84948
ACBD6	84320
DHX34	9704
UCHL1	7345
KIAA1524	57650
PCNXL3	399909
PELI2	57161
HGS	9146
LOXL2	4017
C21ORF91	NA
EHD3	30845
SEPT3	55964
NSMCE2	286053
RFX5	5993
TERT	7015
KCNN2	3781
LARS	51520
PLCE1	51196
PIF1	80119
CCNE2	9134
ILF2	3608
RBM24	221662
TBCE	6905
MTHFD2L	441024
RBP7	116362
CPLX2	10814
NVL	4931
TP73	7161
IDUA	3425
KIF19	124602
COLEC10	10584
SCRIB	23513
TCTEX1D1	200132
KPNA2	3838
RNF152	220441
TRPC6	7225
SCN4A	6329
C13ORF26	NA
JMJD5	79831
EPRS	2058
TUBE1	51175
LRAT	9227
CD109	135228
TMEM201	199953
CDC37L1	55664
ELOVL1	64834
MAPK8IP2	23542
UBQLN4	56893
TMEM26	219623
GPR128	84873
KIAA1841	84542
RAD51AP1	10635
RDBP	7936
SEMA4F	10505
CENPI	2491
PLOD3	8985
FCN3	8547
KLC2	64837
ABCF2	10061
EFNB3	1949
IL1RAP	3556
PSPH	5723
FAM54A	113115
PSMC3IP	29893
FANCE	2178
COL9A1	1297
CSPG5	10675
LINGO1	84894
SETDB1	9869
CSMD2	114784
C1R	715
HSP90AB1	3326
CYP17A1	1586
HMGXB3	22993
PPAP2B	8613
C17ORF82	NA
TMC7	79905
XRCC3	7517
APOF	319
PAMR1	25891
CRIP3	401262
HOXD1	3231
HHIPL2	79802
SNX27	81609
MSRA	4482
DNASE1L3	1776
PLK4	10733
ITGA6	3655
CSMD1	64478
FAM83H	286077
NTF3	4908
HOXD4	3233
FOXH1	8928
JDP2	122953
SIX1	6495
ETS2	2114
MS4A6A	64231
PIAS3	10401
C22ORF29	NA
DSN1	79980
FOS	2353
STARD5	80765
IQCE	23288
SF3B4	10262
POLA2	23649
HSF2BP	11077
ADCY6	112
CRHBP	1393
JAG2	3714
CHAF1A	10036
KNTC1	9735
YEATS2	55689
KIF24	347240
PLSCR4	57088
GPRIN1	114787
MATN3	4148
FAM72A	729533
ADRA2B	151
CUL7	9820
XRCC2	7516
LEF1	51176
ARHGAP39	80728
DLG5	9231
PRIM2	5558
ACLY	47
ZNF775	285971
SRRM3	222183
KIFC2	90990
DOCK6	57572
MYO19	80179
TCF15	6939
TP53I3	9540
TMEM184B	25829
PGAM2	5224
ALPK3	57538
CBFA2T2	9139
C12ORF34	NA
CCT6A	908
PRCC	5546
ASB16	92591
LRRN3	54674
SLC39A14	23516
HIST1H4H	8365
MARCH4	57574
RABIF	5877
KIAA1522	57648
ZNF251	90987
SLC6A8	6535
SLC26A2	1836
CCL23	6368
PAFAH1B3	5050
FGF13	2258
GSTZ1	2954
P4HA2	8974
ACTN2	88
CKS1B	1163
MND1	84057
CDK5	1020
C1QTNF3	114899
ITGA7	3679
ITPKA	3706
PBLD	64081
PDGFA	5154
BCL9	607
BAIAP2L2	80115
GRAMD1A	57655
SH3PXD2B	285590
FBXO32	114907
KLHL15	80311
MAPK12	6300
SEPT5	5413
BLM	641
FRMD4B	23150
LIN9	286826
RAB11FIP4	84440
FXN	2395
NKD1	85407
KAT2A	2648
MCM8	84515
UGP2	7360
CDC25A	993
NUDT17	200035
NUDT1	4521
SAE1	10055
SLC30A3	7781
PPOX	3060
SLC38A2	54407
USP21	27005
SPRY2	10253
SYNE1	23345
EGFL6	25975
FGD1	2245
C1ORF9	NA
LY6H	4062
DNMT3A	1788
ILF3	3609
ANKRD13B	124930
SYT10	341359
MAP2K1	5604
C12ORF39	NA
H2AFZ	3015
COL2A1	1280
WHSC1	7468
NRBF2	29982
ADRA2C	152
TEX19	400629
FANCG	2189
TMEM79	84283
SERPINI1	5274
CD4	920
PLGLA	285189
DTYMK	1841
PVT1	5820
ZNF692	55657
ZFP1	162239
MEP1A	4224
RAD54B	25788
TUBG1	7283
RNFT2	84900
HIST1H2AM	8336
CHML	1122
ECEL1	9427
C20ORF117	NA
ITGA2	3673
NEU1	4758
GPM6A	2823
ZFP36	7538
STIP1	10963
INTS8	55656
ALG1L	200810
B4GALT3	8703
MXD3	83463
GTF2IP1	2970
ATAD2	29028
HAGHL	84264
UXS1	80146
TTL	150465
C15ORF27	NA
ETFDH	2110
NMB	4828
C11ORF93	NA
STEAP3	55240
TRIM16L	147166
ANKRD27	84079
MSX1	4487
GNE	10020
SMC4	10051
PDIA2	64714
SP6	80320
SLC6A9	6536
TRIM11	81559
GPSM2	29899
HSPB1	3315
ELFN2	114794
OSR2	116039
NPLOC4	55666
CDC7	8317
DNM3	26052
COG2	22796
LAMA3	3909
SLC2A5	6518
RDM1	201299
DEDD	9191
SFRP4	6424
GIT1	28964
ATP6AP1	537
IVD	3712
MCAM	4162
MLANA	2315
C3ORF32	NA
MAMSTR	284358
CBX8	57332
PORCN	64840
BOP1	23246
UBE2Q1	55585
MCM5	4174
TMEM164	84187
ZNF696	79943
MNS1	55329
DUSP6	1848
SLC39A10	57181
H2AFX	3014
CTSL2	1515
SAC3D1	29901
TLCD1	116238
GSG2	83903
TIMD4	91937
C5ORF46	NA
C6ORF97	NA
STXBP6	29091
LCN2	3934
SSR2	6746
INCENP	3619
CLSPN	63967
MAGEC2	51438
GPR172A	79581
C16ORF89	NA
EMX1	2016
CCDC97	90324
FAM133A	286499
MSTO2P	100129405
HCFC1	3054
DDX41	51428
FIBCD1	84929
MAST2	23139
SHC1	6464
CACNB4	785
PITX1	5307
CBFA2T3	863
FCN2	2220
FAM111B	374393
IQCD	115811
ASPHD1	253982
MCM4	4173
C11ORF17	NA
LOC100128292	NA
DIO2	1734
RAG1AP1	55974
HELLS	3070
TMEM145	284339
HMGA1	3159
C6ORF145	NA
ADM2	79924
HOXD10	3236
CYP19A1	1588
CEL	1056
RCL1	10171
UBE2A	7319
TMEM220	388335
LZTS1	11178
ACAN	176
CHEK1	1111
NEB	4703
EGR1	1958
RAB6B	51560
SSX1	6756
TCF3	6929
ACCN2	41
MPZ	4359
TMEM163	81615
EFNA3	1944
C12ORF32	NA
SAPS1	22870
FLNC	2318
C1ORF35	NA
AVIL	10677
C17ORF53	NA
NRG2	9542
RNF165	494470
SIX4	51804
MAGEA6	4102
TBXA2R	6915
STK39	27347
TM4SF20	79853
ABCC5	10057
CBR3	874
C9ORF140	NA
DNASE1L2	1775
CAMK2N2	94032
FOXD2	2306
GNA14	9630
LRRC55	219527
ATP6V1C1	528
CHIC2	26511
TSEN54	283989
TMEM104	54868
FBF1	85302
CCHCR1	54535
SMYD3	64754
SPINK5	11005
PI4KB	5298
GPR35	2859
CCDC93	54520
DNAJC25	548645
PANK1	53354
CA4	762
HRCT1	646962
HIST2H3C	126961
MARCO	8685
ALDH2	217
CD163	9332
TNNC1	7134
CABIN1	23523
SFN	2810
N4BP3	23138
FAM64A	54478
NAT2	10
DCAF4L2	138009
GNAO1	2775
PTGS2	5743
BLOC1S3	388552
KCNK9	51305
SHISA4	149345
GUCY2C	2984
GINS4	84296
GOLPH3L	55204
RPS6KL1	83694
CHTF18	63922
IL1B	3553
GINS3	64785
GPATCH4	54865
TIGD1	200765
DCTN2	10540
SLC38A6	145389
SNRPE	6635
EGR3	1960
DNAH14	127602
PTH1R	5745
HPS5	11234
PHOSPHO1	162466
BDKRB1	623
TBX4	9496
NCAPD2	9918
RHOB	388
ETV4	2118
KIAA1797	54914
CSTF2	1478
HEATR7A	727957
REPS1	85021
B4GALNT2	124872
DIRAS3	9077
C1ORF31	NA
SH3BP5L	80851
CCDC142	84865
BMP5	653
ZNF259	8882
ERLIN1	10613
VWF	7450
SLC22A4	6583
ADAM23	8745
VPS11	55823
GATSL1	729438
THOC5	8563
SIGLEC9	27180
DNMT1	1786
GRPR	2925
FARP2	9855
HMGCL	3155
KIAA0907	22889
DSTYK	25778
ALDH1B1	219
MSC	9242
LOC80154	NA
SIGLEC11	114132
GTF2IRD1	9569
TESC	54997
LILRB5	10990
TBC1D16	125058
CCDC123	84902
GLA	2717
PPM1F	9647
ZBTB12	221527
CACYBP	27101
CTSA	5476
CCDC64	92558
MMAA	166785
OSBP2	23762
NUDT10	53343
CANT1	124583
MKRN3	7681
HOXD3	3232
ZNF219	51222
ZNF687	57592
GLI4	2738
HOXA3	3200
SHPK	23729
LMNB2	84823
PSMD4	5710
ZNF330	27309
CYP2C8	1558
MS4A7	51338
DARS2	55157
CXCL2	2920
LOC100125556	NA
TRIM59	286827
COX7B2	170712
ID2B	84099
PRR11	55771
BMP10	27302
NCAPG2	54892
REEP2	51308
NAT9	26151
PHF19	26147
DCUN1D3	123879
FERMT2	10979
CYR61	3491
PSMD10	5716
MTL5	9633
SMPD3	55512
LRRN2	10446
FABP4	2167
MPZL1	9019
FAM20B	9917
RBM34	23029
NGFR	4804
SERF1A	8293
CRYAB	1410
KIF1A	547
AP4M1	9179
DHX57	90957
TTLL4	9654
DBF4B	80174
RECQL5	9400
VMO1	284013
ZSWIM5	57643
MCRS1	10445
LPHN1	22859
LOC387646	NA
ZNF295	49854
VARS	7407
CLN3	1201
TEAD2	8463
EPB41L4B	54566
KCP	375616
EDIL3	10085
TRIM65	201292
MARS	4141
IQCC	55721
SEZ6	124925
ZNF341	84905
PKD1L2	114780
RFWD2	64326
SAMD1	90378
FAM171A2	284069
ACAA1	30
RAB3B	5865
ZFP62	643836
EDC3	80153
ADRA1A	146
DGKQ	1609
TAZ	6901
SUV420H2	84787
MARK4	57787
TMCO3	55002
RHEB	6008
SRXN1	140809
PCSK1	5122
RAP2A	5911
CSF3R	1441
METTL6	131965
MAFG	4097
HEATR1	55127
GPSM1	26086
CNIH4	29097
HGF	3082
LOC100132354	NA
IRGQ	126298
MAGEB2	4113
MSH5	4439
ZNF71	58491
APOBEC3B	9582
MAGEA12	4111
IER2	9592
GHR	2690
PGM1	5236
MT1F	4494
AMHR2	269
CDK16	5127
TLX1	3195
C20ORF118	NA
BEND4	389206
SLITRK6	84189
CDCA4	55038
CUL9	23113
WFS1	7466
ZNF681	148213
RHPN1	114822
CASC3	22794
XRCC1	7515
SIGLEC1	6614
FAM164C	79696
ZIC5	85416
WNT3A	89780
ALDH8A1	64577
USF1	7391
AP3B1	8546
PNRC1	10957
GATS	352954
PHLDA1	22822
MAGEA3	4102
CLDN15	24146
DNASE1	1773
JUNB	3726
DCAF13	25879
MGC12982	NA
DENND4B	9909
NR4A1	3164
SILV	6490
IGFN1	91156
NME1	4830
C9ORF72	NA
ZADH2	284273
COL22A1	169044
SLC35D1	23169
ZKSCAN5	23660
CCBE1	147372
ADK	132
KDM6B	23135
PDGFRB	5159
PYCR1	5831
LIG1	3978
TUBA1B	10376
PCDHB2	56133
CLEC4G	339390
LASS1	10715
AHRR	1543
STX6	10228
SIPA1L3	23094
STAB2	55576
TXNRD1	7296
ANKRD43	134548
CNBP	7555
KIAA0319	9856
PEMT	4582
UBD	10537
MT1X	4501
POLA1	5422
ADAM12	8038
ACAT1	38
IL3RA	3563
C9ORF25	NA
XAGE1D	653067
ZFP36L1	677
C20ORF20	NA
CKAP2	26586
LOC541471	NA
MAP1A	4130
TMEM151A	256472
PDZD11	51248
RHBDL3	162494
DIRAS1	148252
GAS5	60674
C1ORF85	NA
ADAMTS16	170690
IL33	90865
MAGEC1	9947
ZIC4	84107
CCNO	10309
CYP2B6	1555
PLEC	5339
GNG4	2786
PCBP4	57060
ZNF282	8427
PIGT	51604
FAM78B	149297
FER1L6	654463
LDLR	3949
BAI3	577
INMT	11185
LARP1B	55132
CLCN2	1181
LOC728743	728743
MYO1A	4640
C8ORF84	NA
DNER	92737
GPR146	115330
SPTAN1	6709
YKT6	10652
SOCS6	9306
DSE	29940
FBXL3	26224
LHX4	89884
IPO9	55705
PCDH17	27253
GMPS	8833
KLF11	8462
C16ORF75	NA
PPP2R2C	5522
NDRG2	57447
DAPK2	23604
PRR19	284338
NES	10763
CYP4A11	1579
UNC13A	23025
SMC1B	27127
DFNB31	25861
SPSB2	84727
NTM	50863
MT1E	4493
ZFAT	57623
TYMS	7298
RASGEF1B	153020
SCG2	4221
MTHFD1L	25902
FBXW10	10517
C1ORF198	NA
MAST3	23031
EGR2	1959
TOPBP1	11073
CCDC163P	126661
PVRL1	5818
ALDH3A1	218
DLK2	65989
OBFC2B	79035
ZNF7	7553
CYP3A43	64816
BDH2	56898
HMGB2	3148
ACADSB	36
DOCK3	1795
PRAME	23532
ACAD11	84129
DLC1	8655
RFPL4B	442247
SOX12	6666
PAEP	5047
PLGLB2	5342
PALM2	114299
B3GNTL1	146712
GNPNAT1	64841
APC2	10297
TAPT1	202018
LOC100133469	NA
ARHGAP10	57584
CAPN11	11131
ZSCAN2	54993
FAM57B	83723
POLE2	5427
AADAT	51166
KCTD7	154881
ZNF607	84775
ANO2	57101
DUSP12	11266
SLC4A2	6522
TKT	4921
MAZ	4150
PRDM15	63977
SLC45A4	57210
MAT1A	4143
DKK4	27121
MAEL	84944
PIPSL	266971
UFC1	51506
NSUN5	55695
ACSL1	2180
ARHGAP33	115703
IL17D	53342
B3GALNT2	148789
REG1A	5967
MAP4K2	5871
F2RL3	9002
SLC4A11	83959
C1ORF61	NA
NDRG3	57446
DKK1	22943
CLIP2	7461
CENPJ	55835
KIAA0556	23247
MYD88	4615
FBP1	2203
RNF125	54941
RIBC2	26150
CHRM2	1129
VSIG4	11326
C12ORF75	NA
SEPT8	23176
PYCRL	65263
DCN	1634
CETP	1071
PRAM1	84106
VASH2	79805
S100A8	6279
PGP	54858
NAT8L	339983
RHBDL1	9028
LYVE1	10894
ALX3	257
PRPF40B	25766
PCSK1N	27344
REPIN1	29803
ZNF385D	79750
MTA3	57504
UNC5A	90249
SSX2	6757
DNM1P35	100128285
MYCN	4613
DLL4	54567
NMNAT2	23057
BRSK2	9024
ARID3A	1820
MMP14	4323
RIPK4	54101
DSCR8	84677
CCL25	6370
NARF	26502
MLYCD	23417
ACSM3	6296
CIDEB	27141
FAM50A	9130
TRAF2	7186
GABPB2	2553
CFI	3426
FBXL19	54620
AARS2	57505
FANCC	2176
ZNF300	91975
IL1RN	3557
DPF2	5977
CDCA7	83879
C19ORF48	NA
UBE2O	63893
WDR4	10785
LAGE3	8270
SLC12A7	10723
APOA1BP	128240
ARPC5	10092
WNK4	65266
CAMK4	814
SLC9A3	6550
C4ORF46	NA
DDX49	54555
C3ORF54	NA
PI15	51050
POLR2K	5440
PROK2	60675
CCDC137	339230
ANTXR2	118429
CEP72	55722
ZNF707	286075
SLC7A6	9057
ZNF335	63925
C1QTNF6	114904
PPP1R16A	84988
PTCD1	26024
PKM2	5315
PPM1G	5496
BAI2	576
EPHB1	2047
PRPF3	9129
MEX3A	92312
CPSF1	29894
SNAPIN	23557
GRAMD1C	54762
DNAJB11	51726
SLC22A11	55867
NR4A3	8013
PGC	5225
SMC2	10592
OSBPL3	26031
SNRPB	6628
MCC	4163
ANO10	55129
C5ORF32	NA
CKAP5	9793
COL24A1	255631
ATF3	467
RTKN2	219790
GARS	2617
TPM2	7169
RAD18	56852
IBSP	3381
GADD45B	4616
PYCR2	29920
DCAF8L2	347442
UPK3A	7380
C1ORF64	NA
CCDC85A	114800
C14ORF176	NA
GPR19	2842
BFSP1	631
MT2A	4502
NUP37	79023
PCK1	5105
EGF	1950
ALPI	248
BRSK1	84446
MAGED2	10916
MUT	4594
SASS6	163786
LAPTM4B	55353
PFKFB4	5210
EDNRB	1910
PDE2A	5138
PDLIM7	9260
C19ORF40	NA
PEG10	23089
ATP13A1	57130
DLX5	1749
OCRL	4952
MTMR11	10903
LOC100132111	100132111
LRRC37A3	374819
ODAM	54959
LIPE	3991
ATRIP	84126
PLXNA1	5361
VBP1	7411
S100A1	6271
GNPAT	8443
TUBB4	10381
RTEL1	51750
RGMA	56963
TJAP1	93643
ZNF883	169834
EPHB2	2048
ANKRD29	147463
SLC35E4	339665
UBL4A	8266
TUBA3C	7278
TRIM7	81786
NPFFR2	10886
COMMD5	28991
RNASEN	29102
VAX2	25806
R3HDM1	23518
RAB3D	9545
LIN28B	389421
CBX1	10951
FAM155B	27112
NR3C2	4306
RNF215	200312
GABRE	2564
C21ORF62	NA
SNHG1	23642
TMEM132A	54972
EPHX4	253152
C11ORF82	NA
ZNF716	441234
ISL2	64843
FIGNL1	63979
NAT1	9
LOC338799	NA
QARS	2058
ZNF174	7727
PVALB	4151
RELL2	285613
CAT	847
TINAG	27283
PRKRIP1	79706
SP5	389058
TTC9	23508
FAM81A	145773
AAK1	22848
CLK2	1196
RTN2	6253
BMP8A	353500
HIST2H2AA3	8337
P2RY13	53829
DDX19B	11269
PCNA	5111
C11ORF84	NA
DAP3	7818
LARP1	23367
ARMC9	80210
LGI3	203190
ARHGEF37	389337
KCTD17	79734
EPPK1	83481
NOL12	79159
LONRF1	91694
MRPS23	51649
SCN4B	6330
KDSR	2531
MSL3L2	151507
CNTNAP4	85445
SLBP	7884
NEDD4L	23327
SAP130	23450
EEF1A2	1917
ABCA3	21
RBBP7	5931
SBF1	6305
KLF10	7071
LMOD1	25802
NDEL1	81565
LOC440905	NA
CEACAM3	1084
ABCB5	340273
KCNJ11	3767
TMPRSS15	5651
C11ORF20	NA
NFATC4	4776
SUV39H1	6839
SPARC	6678
TPD52L2	7165
CHST5	23563
CRMP1	1400
ALB	213
DUOX1	53905
DEAF1	10522
HAUS5	23354
BNIP2	663
SMG7	9887
FZD10	11211
HN1	51155
CREB3L1	90993
SLC31A2	1318
POLN	353497
IRX3	79191
CKB	1120
HBB	3043
ABHD4	63874
TBC1D7	51256
DGKI	9162
TRIM54	57159
CCDC28A	25901
TSPYL1	7259
INTS10	55174
GBA3	57733
PNPLA7	375775
GOLGA3	2802
LPPR4	9890
FAM162B	221303
GNAL	2774
LILRA5	79166
PRRX1	5396
PUF60	22827
CPSF3	51692
FAM21B	387680
C8ORF45	NA
PRIM1	5557
P2RY12	64805
STX1A	6804
POC1A	25886
VCX3A	51481
C1ORF156	NA
SARDH	1757
RFXANK	8625
PDGFRL	5157
GAGE4	2576
SLC6A17	388662
ZNF208	7757
RAD1	2072
JMJD4	65094
AGPAT1	10554
CLEC12A	160364
PDE4C	5143
PRAMEF4	400735
FANCB	2187
RCN2	5955
RTBDN	83546
TAOK2	9344
C17ORF55	NA
ILDR2	387597
NUP155	9631
PRMT3	10196
CEND1	51286
TMEM66	51669
DHX37	57647
DYNC1H1	1778
DDX53	168400
KRTCAP2	200185
GINS2	51659
FCGR2B	2213
ZNF581	29903
LEPREL1	55214
TSEN15	116461
CXCR2P1	3580
MT3	4504
IFNAR1	3454
LGTN	1939
DPH2	1802
GSDMC	56169
SC65	10609
EPHA2	1969
TRIM50	135892
MFGE8	4240
MAPK11	5600
NT5M	56953
GPRASP1	9737
ZKSCAN3	80317
FTCD	10841
SGK1	6446
SLC24A5	283652
FAM178B	51252
MAP2K4	6416
TMEM198	130612
TSPAN17	26262
ACCN3	9311
EXOC7	23265
CXCR2	3579
SOCS7	30837
CNNM1	26507
ZWILCH	55055
LOC153910	153910
RFX8	731220
KIAA1244	57221
PABPC4L	132430
FAM46A	55603
PTK2	5747
SMEK3P	139420
LOC90784	90784
MPP3	4356
CD302	9936
JPH2	57158
CCDC102B	79839
H1F0	3005
ZNF695	57116
MEA1	4201
PIK3C2B	5287
TMEFF1	8577
PSMD2	5708
CYP2C9	1559
TAL2	6887
C5ORF28	NA
DNMT3B	1789
ACBD7	414149
CYP1B1	1545
LOC81691	81691
RFC3	5983
LILRA3	11026
PDE1C	5137
EML6	400954
UTP14A	10813
CLCN7	1186
SCGB3A1	92304
VSIG10L	147645
INPP5J	27124
CD244	51744
HAVCR1	26762
KCNN3	3782
KPNA7	23633
C7ORF70	NA
DBN1	1627
ENOX1	55068
HIST3H2A	92815
WDYHV1	55093
LOC647946	NA
C17ORF90	NA
CENPO	79172
STX10	8677
SPRYD4	283377
C15ORF41	NA
ANKRD33	283373
NPEPL1	79716
HMGA2	8091
LSM4	25804
ATXN7L3	56970
PGF	5228
MED22	6837
MGC16703	NA
AQP3	360
PROL1	58503
MAGEA8	4107
C8ORF51	NA
CENPP	401541
SFRP1	6422
DEPDC7	91614
NRM	11270
FZD9	8326
MED24	6837
CCT5	22948
CPA6	1548
MYO1B	4430
C9ORF103	NA
DDX12	440081
LOC146336	NA
PRND	23627
C6	729
YY1AP1	55249
GRPEL2	134266
GBP2	2634
HS6ST2	90161
ADRA1B	147
DNAJC5	80331
ZNF142	7701
SLC36A1	206358
C9ORF172	NA
CSE1L	1434
GLYATL1	92292
LPCAT1	79888
UNKL	64718
STC2	8614
GHRHR	2692
HIST1H3D	8351
FCGR2C	9103
NDRG4	65009
SFRS2B	10929
CMTM4	146223
ABHD12	26090
PNMA3	29944
VSIG1	340547
PFKFB2	5208
LLGL1	3996
KIAA0100	9703
HES6	55502
TRIM71	131405
NSUN5P2	260294
ABCA4	24
MAVS	57506
OTUD6B	51633
KIAA0196	9897
RBM7	10179
LIMK1	3984
AIM1L	55057
GAGE12D	100132399
ZBTB7B	51043
SLC22A10	387775
C8ORF30A	NA
REG3A	5068
SLC5A11	115584
CPSF4	10898
TMEM27	57393
SRGAP2	9901
UGT2B11	7363
C8ORF77	NA
