Category	Term	Count	Mir	Percentage	Pval	Pval.BH	Pval.Bonf
function	Folliculogenesis	3	hsa-mir-125b, hsa-let-7b, hsa-mir-21	42.8571428571429	0.012002529007698	0.420088515269431	0.420088515269431
function	Chemosensitivity of tumor cells	2	hsa-mir-16, hsa-mir-21	50	0.0321865523230553	0.563264665653468	1
disease	Myocardial Reperfusion Injury	2	hsa-mir-21, hsa-mir-146a	100	0.00113940978573099	0.0763404556439764	0.229021366931929
disease	Behcet Syndrome	2	hsa-mir-155, hsa-mir-146a	100	0.00113940978573099	0.0763404556439764	0.229021366931929
disease	Carcinoma, Neuroendocrine	2	hsa-mir-155, hsa-mir-21	100	0.00113940978573099	0.0763404556439764	0.229021366931929
disease	Lichen Planus, Oral	3	hsa-mir-21, hsa-mir-146a, hsa-mir-155	37.5	0.00178254359707041	0.0820898895834933	0.358291263011153
disease	Lupus Erythematosus, Systemic	5	hsa-mir-192, hsa-mir-146a, hsa-mir-21, hsa-mir-155, hsa-mir-30a	17.2413793103448	0.00204203705431575	0.0820898895834933	0.410449447917467
disease	Diabetes Mellitus	3	hsa-mir-21, hsa-mir-146a, hsa-mir-155	33.3333333333333	0.00261457307114061	0.0840937831703177	0.525529187299262
disease	Lymphoma, Non-Hodgkin	2	hsa-mir-155, hsa-mir-21	66.6666666666667	0.00334701624558479	0.0840937831703177	0.672750265362542
disease	Demyelinating Diseases	2	hsa-mir-21, hsa-mir-155	66.6666666666667	0.00334701624558479	0.0840937831703177	0.672750265362542
disease	Liposarcoma	2	hsa-let-7b, hsa-mir-155	50	0.00655476441464191	0.13122674152902	1
disease	Reperfusion Injury	3	hsa-mir-146a, hsa-mir-192, hsa-mir-21	21.4285714285714	0.0101298347927854	0.13122674152902	1
disease	Periodontal Diseases	2	hsa-mir-146a, hsa-mir-155	40	0.0106976400987203	0.13122674152902	1
disease	Fibrosis	2	hsa-mir-192, hsa-mir-21	33.3333333333333	0.0157135563392603	0.13122674152902	1
disease	Glomerulonephritis, IGA	2	hsa-mir-146a, hsa-mir-155	33.3333333333333	0.0157135563392603	0.13122674152902	1
disease	Cardiomyopathy, Dilated	2	hsa-mir-155, hsa-mir-21	33.3333333333333	0.0157135563392603	0.13122674152902	1
disease	Inflammation	4	hsa-mir-146a, hsa-mir-21, hsa-mir-155, hsa-let-7b	12.9032258064516	0.0179559431558911	0.13122674152902	1
disease	Neurodegenerative Diseases	2	hsa-let-7b, hsa-mir-146a	28.5714285714286	0.0215432436062375	0.13122674152902	1
disease	Kidney Neoplasms	2	hsa-mir-21, hsa-mir-192	28.5714285714286	0.0215432436062375	0.13122674152902	1
disease	Inflammatory Bowel Diseases	2	hsa-mir-21, hsa-mir-155	28.5714285714286	0.0215432436062375	0.13122674152902	1
disease	Liver Neoplasms	3	hsa-mir-30a, hsa-mir-21, hsa-let-7b	15.7894736842105	0.0241141819446795	0.13122674152902	1
disease	Lymphoma, Large B-Cell, Diffuse	2	hsa-mir-155, hsa-mir-21	25	0.0281301436092932	0.13122674152902	1
disease	Osteoarthritis	2	hsa-mir-146a, hsa-mir-155	25	0.0281301436092932	0.13122674152902	1
disease	Acute Coronary Syndrome	2	hsa-mir-146a, hsa-mir-155	25	0.0281301436092932	0.13122674152902	1
disease	Colitis, Ulcerative	2	hsa-mir-155, hsa-mir-21	25	0.0281301436092932	0.13122674152902	1
disease	Asthma	3	hsa-let-7b, hsa-mir-146a, hsa-mir-155	14.2857142857143	0.0316521339128367	0.13122674152902	1
disease	Hepatitis C	4	hsa-mir-30a, hsa-mir-155, hsa-mir-21, hsa-let-7b	10.8108108108108	0.032870072048239	0.13122674152902	1
disease	Renal Insufficiency	1	hsa-mir-155	100	0.0346020761245674	0.13122674152902	1
disease	Focal Epithelial Hyperplasia	1	hsa-mir-21	100	0.0346020761245674	0.13122674152902	1
disease	Eczema	1	hsa-mir-146a	100	0.0346020761245674	0.13122674152902	1
disease	Carcinoma, Ductal, Breast	1	hsa-mir-21	100	0.0346020761245674	0.13122674152902	1
disease	Granulosa Cell Tumor	1	hsa-mir-21	100	0.0346020761245674	0.13122674152902	1
disease	Colorectal Neoplasms, Hereditary Nonpolyposis	1	hsa-mir-155	100	0.0346020761245674	0.13122674152902	1
disease	Francisella	1	hsa-mir-155	100	0.0346020761245674	0.13122674152902	1
disease	Chlamydia Infections	1	hsa-mir-146a	100	0.0346020761245674	0.13122674152902	1
disease	Fibroblasts	1	hsa-mir-155	100	0.0346020761245674	0.13122674152902	1
disease	Adenoma	1	hsa-mir-21	100	0.0346020761245674	0.13122674152902	1
disease	Neuroma, Acoustic	1	hsa-mir-21	100	0.0346020761245674	0.13122674152902	1
disease	Cystic Fibrosis	1	hsa-mir-155	100	0.0346020761245674	0.13122674152902	1
disease	Intervertebral Disk	1	hsa-mir-155	100	0.0346020761245674	0.13122674152902	1
disease	Encephalomyelitis, Autoimmune, Experimental	1	hsa-mir-155	100	0.0346020761245674	0.13122674152902	1
disease	Gastritis, Atrophic	1	hsa-mir-155	100	0.0346020761245674	0.13122674152902	1
disease	Colitis	1	hsa-mir-155	100	0.0346020761245674	0.13122674152902	1
